controlsgeo_metro,garden_metric_osm
0040,.34269372
0160,.31897661
0200,.41561452
0220,.23090409
0240,.30280817
0320,.33959848
0450,.44692254
0460,.2718446
0480,.50643688
0500,.21524595
0520,.53751665
0600,.39580142
0640,.43700057
0680,.34637669
0730,.33206975
0740,.56998813
0760,.56819499
0840,.37179336
0860,.2985343
0880,.30592576
0920,.21830054
0960,.33287078
1000,.42654923
1010,.27770248
1020,.31596425
1080,.42256814
1122,.41987491
1240,.28728846
1260,.34043637
1280,.32709011
1320,.31437296
1350,.35577068
1360,.26836205
1400,.24089582
1440,.33541328
1480,.33562967
1520,.49233145
1540,.44385561
1560,.31884909
1580,.22151347
1602,.23819926
1620,.35825866
1642,.34249124
1660,.58409661
1692,.33829615
1720,.46700254
1740,.44893071
1760,.41430029
1800,.38237703
1840,.41267946
1880,.38740239
1890,.3198207
1900,.38616663
1922,.39293861
1950,.47088045
1960,.3161968
2000,.35425359
2020,.41983542
2030,.638309
2082,.39277583
2120,.33957672
2162,.28662974
2190,.11020863
2200,.35589674
2240,.20295578
2290,.36701846
2320,.33252594
2330,.27385011
2335,.27896866
2340,.19859722
2360,.25038078
2400,.37394297
2440,.31954724
2520,.28158039
2560,.42848247
2580,.28398114
2620,.37784153
2650,.31578308
2670,.45283985
2700,.49804449
2710,.43378761
2720,.40896785
2750,.44753638
2760,.2992695
2840,.35607794
2880,.37900665
2900,.37864381
2985,.26367351
2995,.41267434
3000,.27400139
3040,.13126732
3080,.26180851
3120,.43726823
3150,.30020574
3160,.4442552
3240,.2982665
3280,.42198673
3285,.33275974
3290,.28914678
3362,.38333243
3400,.3421762
3440,.43585926
3480,.32866767
3500,.27804789
3560,.41712222
3580,.43273056
3600,.37458506
3610,.32028279
3620,.21307701
3660,.44419876
3760,.36457619
3810,.3628538
3840,.38328382
3850,.2873573
3920,.36895886
3980,.37741265
4000,.31371886
4080,.32012865
4100,.35781598
4120,.4658587
4150,.15146281
4200,.37464616
4240,.46599066
4280,.44117418
4320,.29702652
4360,.31675032
4400,.40270981
4472,.35563901
4520,.38519523
4600,.30730087
4640,.41120872
4680,.41014761
4720,.37262312
4800,.34147167
4880,.32368466
4890,.32223967
4900,.54386115
4920,.4171828
4940,.47847572
4992,.40617278
5082,.22702095
5120,.26559994
5140,.31852016
5160,.45736492
5170,.40978256
5200,.54243338
5240,.44595656
5280,.36059877
5330,.33473116
5345,.54859734
5360,.39535761
5520,.47915453
5602,.32604748
5720,.42567509
5800,.28864577
5880,.37489069
5920,.36204174
5960,.47263917
5990,.38440096
6015,.37242615
6020,.40559617
6080,.31220955
6120,.28290883
6162,.30769721
6200,.44785044
6240,.31674486
6280,.39547405
6320,.36909139
6400,.40782738
6442,.38140115
6480,.39828035
6520,.36885786
6560,.27943024
6580,.60459441
6640,.50027895
6660,.18159723
6680,.29237387
6720,.40060496
6740,.32608709
6760,.39629146
6800,.42108464
6820,.35467529
6840,.32470381
6880,.32989913
6922,.45138472
6960,.26244494
6980,.25860378
7000,.20021303
7040,.39390266
7120,.38050532
7160,.42484242
7200,.33310452
7240,.35559341
7320,.40237522
7362,.40936509
7460,.35757753
7480,.40218857
7490,.48610431
7510,.47625673
7520,.24264258
7602,.37263736
7640,.40142015
7680,.44652587
7720,.20466052
7760,.26431209
7800,.31135088
7840,.2977967
7920,.2669833
8000,.41594738
8050,.31448102
8080,.29772785
8120,.41583905
8160,.35905525
8240,.46775565
8280,.40830529
8320,.24963062
8400,.35044181
8440,.23022909
8520,.34044531
8560,.42813474
8600,.37504825
8640,.3894026
8680,.32602578
8750,.34091803
8780,.3460758
8800,.22163573
8872,.39546043
8920,.29525593
8940,.31429651
8960,.53988248
9000,.32154965
9040,.30135533
9080,.34186652
9140,.22373658
9200,.25037003
9260,.30737314
9280,.30658928
9320,.2852276
9340,.41637874
9360,.34271681
NA,.31416622
